sitetype,lat,lon,zip,plus4
Lodging,47.54123073,-122.0156742,98029,7452
Lodging,47.54273537,-122.05644829,98027,8107
Lodging,47.47061952,-122.2531352,98168,4620
Lodging,47.43975553,-122.24425706,98032,1037
Lodging,47.54642094,-122.06480844,98027,5302
Lodging,47.54681191,-122.0652842,98027,4501
Lodging,47.64093754,-122.34685353,98109,2204
Lodging,47.60495185,-122.33614434,98104,1008
Lodging,47.53983892,-122.32219598,98108,3413
Lodging,47.5395671,-122.32171926,98108,3413
Lodging,47.41597779,-122.29777602,98198,5808
Lodging,47.41716849,-122.29643207,98198,5804
Lodging,47.41828735,-122.29625047,98198,5801
Lodging,47.42138681,-122.29701218,98198,5702
Lodging,47.43326849,-122.27427105,98188,5039
Lodging,47.44392412,-122.29081396,98188,4013
Lodging,47.61619682,-122.33193207,98101,1453
Lodging,47.50386552,-122.19887136,98056,2511
Lodging,47.50343171,-122.19883171,98056,2688
Lodging,47.53322621,-122.19443161,98056,1669
Lodging,47.46427664,-122.22113891,98057,3343
Lodging,47.46424558,-122.21946697,98057,
Lodging,47.46299682,-122.2197309,98057,
Lodging,47.46324784,-122.2210291,98057,3344
Lodging,47.47011571,-122.2166925,98057,2500
Lodging,47.70292249,-122.17810623,98034,8103
Lodging,47.70218591,-122.17801003,98034,7017
Lodging,47.43968272,-122.29508637,98188,4207
Lodging,47.44449955,-122.29273051,98188,4052
Lodging,47.43311066,-122.29588908,98188,5204
Lodging,47.43266611,-122.29604673,98188,5207
Lodging,47.43150796,-122.29430018,98188,5325
Lodging,47.43134678,-122.29650447,98188,5155
Lodging,47.43213397,-122.29743833,98188,5119
Lodging,47.44040637,-122.29491053,98188,4206
Lodging,47.43301318,-122.29740493,98188,5117
Lodging,47.43532487,-122.29703518,98188,5131
Lodging,47.43636555,-122.29330826,98188,4234
Lodging,47.70241192,-122.20743707,98033,4314
Lodging,47.69919745,-122.32810563,98115,2012
Lodging,47.61101335,-122.18983082,98004,5852
Lodging,47.60389269,-122.18660921,98004,6480
Lodging,47.60730274,-122.18937754,98004,6412
Lodging,47.60906359,-122.18979072,98004,6405
Lodging,47.61072176,-122.1875062,98004,6451
Lodging,47.61605291,-122.18633903,98004,5207
Lodging,47.34984038,-121.94427011,98051,9758
Lodging,47.34716126,-121.94530309,98051,7702
Lodging,47.51932832,-121.82787031,98065,9637
Lodging,47.43857199,-122.21246894,98055,6216
Lodging,47.66834193,-122.1051271,98052,4913
Lodging,47.71902432,-122.34557864,98133,8032
Lodging,47.7172069,-122.34544015,98133,8249
